nohup: ignoring input
Using: cuda
[train] Loaded 7568 samples (Pe=[0, 10])
[dev] Loaded 932 samples (Pe=[0, 10])
[test] Loaded 968 samples (Pe=[0, 10])
---- Training ----
Epoch 1/300 | Train=0.05266 | Dev=0.03838
Epoch 2/300 | Train=0.03474 | Dev=0.03185
Epoch 3/300 | Train=0.02969 | Dev=0.02694
Epoch 4/300 | Train=0.02454 | Dev=0.02184
Epoch 5/300 | Train=0.01987 | Dev=0.01704
Epoch 6/300 | Train=0.01521 | Dev=0.01289
Epoch 7/300 | Train=0.01154 | Dev=0.00929
Epoch 8/300 | Train=0.00866 | Dev=0.00692
Epoch 9/300 | Train=0.00682 | Dev=0.00548
Epoch 10/300 | Train=0.00566 | Dev=0.00458
Epoch 11/300 | Train=0.00503 | Dev=0.00395
Epoch 12/300 | Train=0.00463 | Dev=0.00355
Epoch 13/300 | Train=0.00420 | Dev=0.00324
Epoch 14/300 | Train=0.00393 | Dev=0.00309
Epoch 15/300 | Train=0.00375 | Dev=0.00294
Epoch 16/300 | Train=0.00357 | Dev=0.00272
Epoch 17/300 | Train=0.00347 | Dev=0.00257
Epoch 18/300 | Train=0.00334 | Dev=0.00243
Epoch 19/300 | Train=0.00314 | Dev=0.00234
Epoch 20/300 | Train=0.00301 | Dev=0.00224
Epoch 21/300 | Train=0.00291 | Dev=0.00210
Epoch 22/300 | Train=0.00282 | Dev=0.00200
Epoch 23/300 | Train=0.00269 | Dev=0.00192
Epoch 24/300 | Train=0.00260 | Dev=0.00180
Epoch 25/300 | Train=0.00253 | Dev=0.00173
Epoch 26/300 | Train=0.00242 | Dev=0.00170
Epoch 27/300 | Train=0.00236 | Dev=0.00171
Epoch 28/300 | Train=0.00229 | Dev=0.00155
Epoch 29/300 | Train=0.00224 | Dev=0.00157
Epoch 30/300 | Train=0.00216 | Dev=0.00149
Epoch 31/300 | Train=0.00209 | Dev=0.00162
Epoch 32/300 | Train=0.00206 | Dev=0.00142
Epoch 33/300 | Train=0.00204 | Dev=0.00154
Epoch 34/300 | Train=0.00200 | Dev=0.00140
Epoch 35/300 | Train=0.00194 | Dev=0.00134
Epoch 36/300 | Train=0.00194 | Dev=0.00135
Epoch 37/300 | Train=0.00186 | Dev=0.00139
Epoch 38/300 | Train=0.00182 | Dev=0.00146
Epoch 39/300 | Train=0.00181 | Dev=0.00133
Epoch 40/300 | Train=0.00179 | Dev=0.00128
Epoch 41/300 | Train=0.00176 | Dev=0.00123
Epoch 42/300 | Train=0.00176 | Dev=0.00122
Epoch 43/300 | Train=0.00171 | Dev=0.00118
Epoch 44/300 | Train=0.00164 | Dev=0.00118
Epoch 45/300 | Train=0.00164 | Dev=0.00115
Epoch 46/300 | Train=0.00161 | Dev=0.00114
Epoch 47/300 | Train=0.00157 | Dev=0.00114
Epoch 48/300 | Train=0.00154 | Dev=0.00119
Epoch 49/300 | Train=0.00154 | Dev=0.00113
Epoch 50/300 | Train=0.00151 | Dev=0.00113
Epoch 51/300 | Train=0.00149 | Dev=0.00112
Epoch 52/300 | Train=0.00148 | Dev=0.00107
Epoch 53/300 | Train=0.00145 | Dev=0.00107
Epoch 54/300 | Train=0.00141 | Dev=0.00122
Epoch 55/300 | Train=0.00140 | Dev=0.00107
Epoch 56/300 | Train=0.00139 | Dev=0.00105
Epoch 57/300 | Train=0.00137 | Dev=0.00103
Epoch 58/300 | Train=0.00136 | Dev=0.00105
Epoch 59/300 | Train=0.00133 | Dev=0.00105
Epoch 60/300 | Train=0.00131 | Dev=0.00107
Epoch 61/300 | Train=0.00132 | Dev=0.00103
Epoch 62/300 | Train=0.00128 | Dev=0.00103
Epoch 63/300 | Train=0.00126 | Dev=0.00104
Epoch 64/300 | Train=0.00124 | Dev=0.00102
Epoch 65/300 | Train=0.00125 | Dev=0.00103
Epoch 66/300 | Train=0.00122 | Dev=0.00099
Epoch 67/300 | Train=0.00124 | Dev=0.00098
Epoch 68/300 | Train=0.00118 | Dev=0.00106
Epoch 69/300 | Train=0.00118 | Dev=0.00098
Epoch 70/300 | Train=0.00117 | Dev=0.00111
Epoch 71/300 | Train=0.00115 | Dev=0.00099
Epoch 72/300 | Train=0.00112 | Dev=0.00097
Epoch 73/300 | Train=0.00111 | Dev=0.00100
Epoch 74/300 | Train=0.00113 | Dev=0.00095
Epoch 75/300 | Train=0.00111 | Dev=0.00094
Epoch 76/300 | Train=0.00109 | Dev=0.00094
Epoch 77/300 | Train=0.00107 | Dev=0.00101
